shop,categorie,produit,prix,ancien_prix,remise_pct,stock,en_promo,rating
Lasolda,Maison,Caméra De Surveillance IP W...,999.00,1.400,N/A,En stock,Oui,N/A
Lasolda,Maison,Lampe Energie Solaire Multi...,219.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Pack Barbecue Pliable + Pin...,389.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Plancha à gaz Blue Flame LX...,3.899,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Ventilateur Sur Pied En Mét...,759.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Glacière Souple 10L –...,299.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Lampe De Poche Etanche Rec...,149.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Pulvérisateur à pression 6L...,239.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Protecteur rétroviseurs voi...,149.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Caméra surveillance WiFi ex...,1.099,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Chaise Trépied de Camping/P...,119.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Piscine Gonflable Rectangul...,579.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Piscine Gonflable Enfants 1...,149.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Pouf Géant Waterproof Imp...,999.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Gourde Avec Paille Pour L&#...,49.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Gamelle Pour Chien , Chat A...",169.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Kit Aiid Al Adha – Ai...,369.00,497.00,26,En stock,Oui,N/A
Lasolda,Maison,Pouf Poire D’intérieur Velo...,889.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,2 Griffes Pour Viande Avec ...,459.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,2 Sachets silicone pour gri...,229.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Appareil A Chauffer Tout Ty...,199.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Arrosage De Jardin Arroseur...,269.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue à Charbon Wagon +...,699.00,848.00,18,En stock,Oui,N/A
Lasolda,Maison,Barbecue A Charbon Portabl...,399.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue A Charbon Rectang...,599.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue à Charbon BRIGHTON...,1.499,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue à Charbon CAPRI Av...,1.389,1.500,7,En stock,Oui,N/A
Lasolda,Maison,Barbecue à Charbon De Bois ...,1.519,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue à Charbon El Paso ...,2.249,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue à Charbon Horizont...,2.499,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue à Charbon LUGANO A...,1.299,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue à Charbon Pliable ...,449.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue A Charbon Pliant,199.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue à Charbon Portable...,239.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue A Charbon Sur Pied...,199.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue à Charbon sur Pied...,359.00,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,Barbecue Charbon De Bois Ba...,1.799,N/A,N/A,En stock,Non,N/A
Lasolda,Maison,"Barbecue charbon KOS fonte,...",1.299,N/A,N/A,En stock,Non,N/A
